"id";"address";"latitude";"longitude";"created_at";"updated_at"
63;"Aguada de Pueyrredón, Barrio Juan Francisco Oyola, San Roque, San Luis, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.29125664406502";"-66.27457380294801";"2025-05-05 18:50:32";"2025-05-05 18:50:32"
64;"20 de Noviembre, El Chorrillo, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.28890696002972";"-66.26734256744386";"2025-05-05 18:52:15";"2025-05-05 18:52:15"
65;"Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26764931005039";"-66.22477054595949";"2025-05-05 18:54:29";"2025-05-05 18:54:29"
66;"Aguada de Pueyrredón, Barrio Juan Francisco Oyola, San Roque, San Luis, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28131041119127";"-66.25491857528688";"2025-05-05 18:56:13";"2025-05-05 18:56:13"
67;"Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.27073512974797";"-66.210994720459";"2025-05-05 18:57:29";"2025-05-05 18:57:29"
68;"Avenida del Portezuelo, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.25821176624841";"-66.24142169952394";"2025-05-05 18:59:39";"2025-05-05 18:59:39"
69;"Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.251177800559205";"-66.2274742126465";"2025-05-05 19:01:17";"2025-05-05 19:01:17"
70;"Aguada de Pueyrredón, Barrio Juan Francisco Oyola, San Roque, San Luis, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28986657145875";"-66.27093672752382";"2025-05-05 19:06:27";"2025-05-05 19:06:27"
71;"Autopista de las Serranías Puntanas, La Cumbre, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.344098839874086";"-66.1199712753296";"2025-05-06 11:03:56";"2025-05-06 11:03:56"
72;"RN146;RNV146, Pozo del Carril, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.199213000229925";"-66.35311961174013";"2025-05-06 11:06:17";"2025-05-06 11:06:17"
73;"Segundo Anillo Comercial, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.183500812149575";"-66.31200671195985";"2025-05-06 11:08:43";"2025-05-06 11:08:43"
74;"Calle 22 Oeste, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.185907204293656";"-66.32184505462648";"2025-05-06 11:12:59";"2025-05-06 11:12:59"
75;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18115721000192";"-66.30525827407838";"2025-05-06 11:18:51";"2025-05-06 11:18:51"
76;"Autopista 25 de Mayo, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18245921893432";"-66.28540992736818";"2025-05-06 11:23:31";"2025-05-06 11:23:31"
77;"Calle 9, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.17408112663982";"-66.30711436271669";"2025-05-06 11:31:31";"2025-05-06 11:31:31"
78;"Registro Civil - Suc. La Punta, Calle 9, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.17711636943182";"-66.3162660598755";"2025-05-06 11:34:10";"2025-05-06 11:34:10"
79;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.16426525805802";"-66.31686687469484";"2025-05-06 11:36:30";"2025-05-06 11:36:30"
80;"Aiello, Avenida La Serrana, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18187107246771";"-66.31354093551637";"2025-05-06 11:38:36";"2025-05-06 11:38:36"
81;"Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.1868499891644";"-66.28306031227113";"2025-05-06 11:40:18";"2025-05-06 11:40:18"
82;"Boulevard Tobar García, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18491053496924";"-66.31744086742403";"2025-05-06 11:43:21";"2025-05-06 11:43:21"
83;"YPF, Segundo Anillo Comercial, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18319551886932";"-66.31140589714052";"2025-05-06 11:48:19";"2025-05-06 11:48:19"
84;"Avenida La Serrana, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18689488342897";"-66.3113307952881";"2025-05-06 11:50:26";"2025-05-06 11:50:26"
